,Account Status,Duration,Credit History,Purpose,Credit Amount,Savings,Employment,Installment rate,Sex,Other debtors,Residence,Property,Age,Other installments,Housing,Number of credits,Job,Maintenance,Telephone,Foreign,Target
177,<0,6,critical account,radio/television,338,<1000,>= 7 years,4,male single,none,4,car or other,52,none,own,2,skilled employee / official,1,none,yes,1
178,no,12,existing credits paid back duly till now,radio/television,1963,<100,4 <= < 7 years,4,male single,none,2,car or other,31,none,rent,2,management/ highly qualified employee,2,yes,yes,1
179,<0,21,critical account,car (new),571,<100,>= 7 years,4,male single,none,4,real estate,65,none,own,2,skilled employee / official,1,none,yes,1
180,no,36,delay in paying off,business,9572,<100,< 1 year,1,male divorced/separated,none,1,car or other,28,none,own,2,skilled employee / official,1,none,yes,0
181,<200,36,delay in paying off,business,4455,<100,1 <= < 4 years,2,male divorced/separated,none,2,real estate,30,store,own,2,management/ highly qualified employee,1,yes,yes,0
182,<0,21,all credits at this bank paid back duly,car (new),1647,no,1 <= < 4 years,4,male single,none,2,savings agreement/life insurance,40,none,own,2,unskilled - resident,2,none,yes,0
183,no,24,critical account,furniture/equipment,3777,>1000,1 <= < 4 years,4,male single,none,4,real estate,50,none,own,1,skilled employee / official,1,yes,yes,1
184,<200,18,critical account,car (new),884,<100,>= 7 years,4,male single,none,4,car or other,36,bank,own,1,skilled employee / official,2,yes,yes,0
185,no,15,critical account,radio/television,1360,<100,1 <= < 4 years,4,male single,none,2,savings agreement/life insurance,31,none,own,2,skilled employee / official,1,none,yes,1
186,<200,9,all credits at this bank paid back duly,car (used),5129,<100,>= 7 years,2,female divorced/separated/married,none,4,no,74,bank,for free,1,management/ highly qualified employee,2,yes,yes,0
187,<200,16,critical account,car (new),1175,<100,unemployed,2,male single,none,3,car or other,68,none,for free,3,unemployed/ unskilled  - non-resident,1,yes,yes,1
188,<0,12,existing credits paid back duly till now,radio/television,674,<500,4 <= < 7 years,4,male married/widowed,none,1,savings agreement/life insurance,20,none,own,1,skilled employee / official,1,none,yes,0
189,<200,18,no credits taken,furniture/equipment,3244,<100,1 <= < 4 years,1,female divorced/separated/married,none,4,car or other,33,bank,own,2,skilled employee / official,1,yes,yes,1
190,no,24,existing credits paid back duly till now,business,4591,>1000,1 <= < 4 years,2,male single,none,3,savings agreement/life insurance,54,none,own,3,management/ highly qualified employee,1,yes,yes,0
191,<200,48,no credits taken,business,3844,<500,4 <= < 7 years,4,male single,none,4,no,34,none,for free,1,unskilled - resident,2,none,yes,0
192,<200,27,existing credits paid back duly till now,business,3915,<100,1 <= < 4 years,4,male single,none,2,car or other,36,none,own,1,skilled employee / official,2,yes,yes,0
193,no,6,existing credits paid back duly till now,radio/television,2108,<100,4 <= < 7 years,2,male married/widowed,none,2,real estate,29,none,rent,1,skilled employee / official,1,none,yes,1
194,<200,45,existing credits paid back duly till now,radio/television,3031,<500,1 <= < 4 years,4,male single,guarantor,4,savings agreement/life insurance,21,none,rent,1,skilled employee / official,1,none,yes,0
195,<200,9,critical account,education,1501,<100,>= 7 years,2,female divorced/separated/married,none,3,car or other,34,none,own,2,management/ highly qualified employee,1,yes,yes,0
196,no,6,critical account,radio/television,1382,<100,1 <= < 4 years,1,female divorced/separated/married,none,1,car or other,28,none,own,2,skilled employee / official,1,yes,yes,1
197,<200,12,existing credits paid back duly till now,furniture/equipment,951,<500,< 1 year,4,female divorced/separated/married,none,4,car or other,27,bank,rent,4,skilled employee / official,1,none,yes,0
198,<200,24,existing credits paid back duly till now,car (used),2760,no,>= 7 years,4,male single,none,4,no,36,bank,for free,1,skilled employee / official,1,yes,yes,1
199,<200,18,delay in paying off,furniture/equipment,4297,<100,>= 7 years,4,male divorced/separated,none,3,no,40,none,own,1,management/ highly qualified employee,1,yes,yes,0
200,no,9,critical account,education,936,<1000,>= 7 years,4,male single,none,2,car or other,52,none,own,2,skilled employee / official,1,yes,yes,1
201,<0,12,existing credits paid back duly till now,car (new),1168,<100,1 <= < 4 years,4,male married/widowed,none,3,real estate,27,none,own,1,unskilled - resident,1,none,yes,1
202,no,27,delay in paying off,business,5117,<100,4 <= < 7 years,3,male single,none,4,car or other,26,none,own,2,skilled employee / official,1,none,yes,1
203,<0,12,existing credits paid back duly till now,retraining,902,<100,4 <= < 7 years,4,male married/widowed,none,4,savings agreement/life insurance,21,none,rent,1,skilled employee / official,1,none,yes,0
204,no,12,critical account,car (new),1495,<100,>= 7 years,4,male single,none,1,real estate,38,none,own,2,unskilled - resident,2,none,yes,1
205,<0,30,critical account,car (used),10623,<100,>= 7 years,3,male single,none,4,no,38,none,for free,3,management/ highly qualified employee,2,yes,yes,1
206,no,12,critical account,furniture/equipment,1935,<100,>= 7 years,4,male single,none,4,real estate,43,none,own,3,skilled employee / official,1,yes,yes,1
207,<200,12,critical account,domestic appliances,1424,<100,4 <= < 7 years,4,male single,none,3,savings agreement/life insurance,26,none,own,1,skilled employee / official,1,none,yes,1
208,<0,24,existing credits paid back duly till now,business,6568,<100,1 <= < 4 years,2,male married/widowed,none,2,car or other,21,store,own,1,unskilled - resident,1,none,yes,1
209,no,12,existing credits paid back duly till now,car (used),1413,>1000,4 <= < 7 years,3,male single,none,2,savings agreement/life insurance,55,none,own,1,skilled employee / official,1,none,no,1
210,no,9,critical account,radio/television,3074,no,1 <= < 4 years,1,male single,none,2,real estate,33,none,own,2,skilled employee / official,2,none,yes,1
211,no,36,existing credits paid back duly till now,radio/television,3835,no,>= 7 years,2,female divorced/separated/married,none,4,real estate,45,none,own,1,unskilled - resident,1,yes,yes,1
212,<0,27,no credits taken,business,5293,<100,unemployed,2,male single,none,4,savings agreement/life insurance,50,store,own,2,skilled employee / official,1,yes,yes,0
213,>200,30,delay in paying off,business,1908,<100,>= 7 years,4,male single,none,4,real estate,66,none,own,1,management/ highly qualified employee,1,yes,yes,0
214,no,36,critical account,radio/television,3342,no,>= 7 years,4,male single,none,2,car or other,51,none,own,1,skilled employee / official,1,yes,yes,1
215,<200,6,critical account,retraining,932,no,4 <= < 7 years,1,female divorced/separated/married,none,3,savings agreement/life insurance,39,none,own,2,unskilled - resident,1,none,yes,1
216,<0,18,no credits taken,business,3104,<100,4 <= < 7 years,3,male single,none,1,savings agreement/life insurance,31,bank,own,1,skilled employee / official,1,yes,yes,1
217,>200,36,existing credits paid back duly till now,radio/television,3913,<100,1 <= < 4 years,2,male single,none,2,real estate,23,none,own,1,skilled employee / official,1,yes,yes,1
218,<0,24,existing credits paid back duly till now,furniture/equipment,3021,<100,1 <= < 4 years,2,male divorced/separated,none,2,real estate,24,none,rent,1,unskilled - resident,1,none,yes,1
219,no,10,existing credits paid back duly till now,car (new),1364,<100,1 <= < 4 years,2,female divorced/separated/married,none,4,car or other,64,none,own,1,skilled employee / official,1,yes,yes,1
220,<200,12,existing credits paid back duly till now,radio/television,625,<100,< 1 year,4,male married/widowed,guarantor,1,real estate,26,bank,own,1,unskilled - resident,1,none,yes,1
221,<0,12,existing credits paid back duly till now,education,1200,no,1 <= < 4 years,4,female divorced/separated/married,none,4,savings agreement/life insurance,23,bank,rent,1,skilled employee / official,1,yes,yes,1
222,no,12,existing credits paid back duly till now,radio/television,707,<100,1 <= < 4 years,4,male single,none,2,real estate,30,bank,own,2,skilled employee / official,1,none,yes,1
223,no,24,delay in paying off,business,2978,no,1 <= < 4 years,4,male single,none,4,real estate,32,none,own,2,skilled employee / official,2,yes,yes,1
224,no,15,existing credits paid back duly till now,car (used),4657,<100,1 <= < 4 years,3,male single,none,2,car or other,30,none,own,1,skilled employee / official,1,yes,yes,1
225,no,36,no credits taken,repairs,2613,<100,1 <= < 4 years,4,male single,none,2,car or other,27,none,own,2,skilled employee / official,1,none,yes,1
226,<200,48,existing credits paid back duly till now,radio/television,10961,>1000,4 <= < 7 years,1,male single,co-applicant,2,no,27,bank,own,2,skilled employee / official,1,yes,yes,0
227,<0,12,existing credits paid back duly till now,furniture/equipment,7865,<100,>= 7 years,4,male single,none,4,no,53,none,for free,1,management/ highly qualified employee,1,yes,yes,0
228,no,9,existing credits paid back duly till now,radio/television,1478,<100,4 <= < 7 years,4,male single,none,2,car or other,22,none,own,1,skilled employee / official,1,none,yes,0
229,<0,24,existing credits paid back duly till now,furniture/equipment,3149,<100,< 1 year,4,male single,none,1,no,22,bank,for free,1,skilled employee / official,1,none,yes,1
230,>200,36,existing credits paid back duly till now,radio/television,4210,<100,1 <= < 4 years,4,male single,none,2,car or other,26,none,own,1,skilled employee / official,1,none,yes,0
231,no,9,existing credits paid back duly till now,car (new),2507,<1000,>= 7 years,2,male single,none,4,no,51,none,for free,1,unskilled - resident,1,none,yes,1
232,no,12,existing credits paid back duly till now,radio/television,2141,<500,4 <= < 7 years,3,male single,none,1,no,35,none,own,1,skilled employee / official,1,none,yes,1
233,<200,18,existing credits paid back duly till now,radio/television,866,<100,1 <= < 4 years,4,male married/widowed,guarantor,2,real estate,25,none,own,1,unskilled - resident,1,none,yes,1
234,no,4,critical account,radio/television,1544,<100,4 <= < 7 years,2,male single,none,1,real estate,42,none,own,3,unskilled - resident,2,none,yes,1
235,<0,24,existing credits paid back duly till now,radio/television,1823,<100,unemployed,4,male single,none,2,car or other,30,store,own,1,management/ highly qualified employee,2,none,yes,0
236,<200,6,existing credits paid back duly till now,car (new),14555,no,unemployed,1,male single,none,2,savings agreement/life insurance,23,none,own,1,unemployed/ unskilled  - non-resident,1,yes,yes,0
237,<200,21,existing credits paid back duly till now,business,2767,<500,>= 7 years,4,male divorced/separated,none,2,car or other,61,bank,rent,2,unskilled - resident,1,none,yes,0
238,no,12,critical account,radio/television,1291,<100,1 <= < 4 years,4,female divorced/separated/married,none,2,savings agreement/life insurance,35,none,own,2,skilled employee / official,1,none,yes,1
239,<0,30,existing credits paid back duly till now,radio/television,2522,<100,>= 7 years,1,male single,guarantor,3,savings agreement/life insurance,39,none,own,1,skilled employee / official,2,none,yes,1
240,<0,24,existing credits paid back duly till now,car (new),915,no,>= 7 years,4,female divorced/separated/married,none,2,car or other,29,bank,own,1,skilled employee / official,1,none,yes,0
241,no,6,existing credits paid back duly till now,radio/television,1595,<100,4 <= < 7 years,3,male single,none,2,savings agreement/life insurance,51,none,own,1,skilled employee / official,2,none,yes,1
242,<0,48,no credits taken,car (used),4605,<100,>= 7 years,3,male single,none,4,no,24,none,for free,2,skilled employee / official,2,none,yes,0
243,no,12,critical account,business,1185,<100,1 <= < 4 years,3,female divorced/separated/married,none,2,real estate,27,none,own,2,skilled employee / official,1,none,yes,1
244,no,12,all credits at this bank paid back duly,retraining,3447,<1000,1 <= < 4 years,4,female divorced/separated/married,none,3,real estate,35,none,own,1,unskilled - resident,2,none,yes,1
245,no,24,existing credits paid back duly till now,business,1258,<100,4 <= < 7 years,4,male single,none,1,real estate,25,none,own,1,skilled employee / official,1,yes,yes,1
246,no,12,critical account,radio/television,717,<100,>= 7 years,4,male single,none,4,real estate,52,none,own,3,skilled employee / official,1,none,yes,1
247,no,6,no credits taken,car (new),1204,<500,1 <= < 4 years,4,male single,none,1,no,35,bank,rent,1,skilled employee / official,1,none,no,1
248,>200,24,existing credits paid back duly till now,furniture/equipment,1925,<100,1 <= < 4 years,2,male single,none,2,real estate,26,none,own,1,skilled employee / official,1,none,yes,1
249,no,18,existing credits paid back duly till now,radio/television,433,<100,unemployed,3,female divorced/separated/married,co-applicant,4,real estate,22,none,rent,1,skilled employee / official,1,none,yes,0
250,<0,6,critical account,car (new),666,>1000,4 <= < 7 years,3,female divorced/separated/married,none,4,real estate,39,none,own,2,unskilled - resident,1,yes,yes,1
251,>200,12,existing credits paid back duly till now,furniture/equipment,2251,<100,1 <= < 4 years,1,female divorced/separated/married,none,2,car or other,46,none,own,1,unskilled - resident,1,none,yes,1
252,<200,30,existing credits paid back duly till now,car (new),2150,<100,1 <= < 4 years,4,female divorced/separated/married,guarantor,2,no,24,bank,own,1,skilled employee / official,1,none,yes,0
253,no,24,delay in paying off,furniture/equipment,4151,<500,1 <= < 4 years,2,male single,none,3,savings agreement/life insurance,35,none,own,2,skilled employee / official,1,none,yes,1
254,<200,9,existing credits paid back duly till now,furniture/equipment,2030,no,4 <= < 7 years,2,male single,none,1,car or other,24,none,own,1,skilled employee / official,1,yes,yes,1
255,<200,60,delay in paying off,radio/television,7418,no,1 <= < 4 years,1,male single,none,1,real estate,27,none,own,1,unskilled - resident,1,none,yes,1
256,no,24,critical account,radio/television,2684,<100,1 <= < 4 years,4,male single,none,2,real estate,35,none,own,2,unskilled - resident,1,none,yes,1
257,<0,12,all credits at this bank paid back duly,radio/television,2149,<100,1 <= < 4 years,4,male divorced/separated,none,1,no,29,none,for free,1,skilled employee / official,1,none,yes,0
258,no,15,existing credits paid back duly till now,car (used),3812,<500,< 1 year,1,female divorced/separated/married,none,4,car or other,23,none,own,1,skilled employee / official,1,yes,yes,1
259,no,11,critical account,radio/television,1154,<500,unemployed,4,female divorced/separated/married,none,4,real estate,57,none,own,3,unskilled - resident,1,none,yes,1
260,<0,12,existing credits paid back duly till now,furniture/equipment,1657,<100,1 <= < 4 years,2,male single,none,2,real estate,27,none,own,1,skilled employee / official,1,none,yes,1
261,<0,24,existing credits paid back duly till now,radio/television,1603,<100,>= 7 years,4,female divorced/separated/married,none,4,car or other,55,none,own,1,skilled employee / official,1,none,yes,1
262,<0,18,critical account,car (new),5302,<100,>= 7 years,2,male single,none,4,no,36,none,for free,3,management/ highly qualified employee,1,yes,yes,1
263,no,12,critical account,education,2748,<100,>= 7 years,2,female divorced/separated/married,none,4,no,57,bank,for free,3,unskilled - resident,1,none,yes,1
264,no,10,critical account,car (new),1231,<100,>= 7 years,3,male single,none,4,real estate,32,none,own,2,unskilled - resident,2,none,no,1
265,<200,15,existing credits paid back duly till now,radio/television,802,<100,>= 7 years,4,male single,none,3,car or other,37,none,own,1,skilled employee / official,2,none,yes,0
266,no,36,critical account,business,6304,no,>= 7 years,4,male single,none,4,real estate,36,none,own,2,skilled employee / official,1,none,yes,1
267,no,24,existing credits paid back duly till now,radio/television,1533,<100,< 1 year,4,female divorced/separated/married,none,3,car or other,38,store,own,1,skilled employee / official,1,yes,yes,1
268,<0,14,existing credits paid back duly till now,car (new),8978,<100,>= 7 years,1,male divorced/separated,none,4,savings agreement/life insurance,45,none,own,1,management/ highly qualified employee,1,yes,no,0
269,no,24,existing credits paid back duly till now,radio/television,999,no,>= 7 years,4,male single,none,2,car or other,25,none,own,2,skilled employee / official,1,none,yes,1
270,no,18,existing credits paid back duly till now,car (new),2662,no,4 <= < 7 years,4,male single,none,3,savings agreement/life insurance,32,none,own,1,skilled employee / official,1,none,no,1
271,no,12,critical account,furniture/equipment,1402,<1000,4 <= < 7 years,3,female divorced/separated/married,none,4,car or other,37,none,rent,1,skilled employee / official,1,yes,yes,1
272,<200,48,all credits at this bank paid back duly,car (new),12169,no,unemployed,4,male single,co-applicant,4,no,36,none,for free,1,management/ highly qualified employee,1,yes,yes,1
273,<200,48,existing credits paid back duly till now,radio/television,3060,<100,4 <= < 7 years,4,male single,none,4,real estate,28,none,own,2,skilled employee / official,1,none,yes,0
274,<0,30,existing credits paid back duly till now,repairs,11998,<100,< 1 year,1,male divorced/separated,none,1,no,34,none,own,1,unskilled - resident,1,yes,yes,0
275,no,9,existing credits paid back duly till now,radio/television,2697,<100,1 <= < 4 years,1,male single,none,2,real estate,32,none,own,1,skilled employee / official,2,none,yes,1
276,no,18,critical account,radio/television,2404,<100,1 <= < 4 years,2,female divorced/separated/married,none,2,car or other,26,none,own,2,skilled employee / official,1,none,yes,1
277,<0,12,existing credits paid back duly till now,furniture/equipment,1262,no,>= 7 years,2,male divorced/separated,none,4,savings agreement/life insurance,49,none,own,1,unskilled - resident,1,yes,yes,1
278,no,6,existing credits paid back duly till now,furniture/equipment,4611,<100,< 1 year,1,female divorced/separated/married,none,4,savings agreement/life insurance,32,none,own,1,skilled employee / official,1,none,yes,0
279,no,24,existing credits paid back duly till now,radio/television,1901,<500,1 <= < 4 years,4,male single,none,4,car or other,29,none,rent,1,management/ highly qualified employee,1,yes,yes,1
280,no,15,critical account,car (used),3368,>1000,>= 7 years,3,male single,none,4,no,23,none,rent,2,skilled employee / official,1,yes,yes,1
281,no,12,existing credits paid back duly till now,furniture/equipment,1574,<100,1 <= < 4 years,4,male single,none,2,real estate,50,none,own,1,skilled employee / official,1,none,yes,1
282,>200,18,all credits at this bank paid back duly,radio/television,1445,no,4 <= < 7 years,4,male single,none,4,car or other,49,bank,own,1,unskilled - resident,1,none,yes,1
283,no,15,critical account,furniture/equipment,1520,no,>= 7 years,4,male single,none,4,savings agreement/life insurance,63,none,own,1,skilled employee / official,1,none,yes,1
284,<200,24,critical account,car (new),3878,<500,< 1 year,4,male divorced/separated,none,2,car or other,37,none,own,1,skilled employee / official,1,yes,yes,1
285,<0,47,existing credits paid back duly till now,car (new),10722,<100,< 1 year,1,female divorced/separated/married,none,1,real estate,35,none,own,1,unskilled - resident,1,yes,yes,1
286,<0,48,existing credits paid back duly till now,car (used),4788,<100,4 <= < 7 years,4,male single,none,3,savings agreement/life insurance,26,none,own,1,skilled employee / official,2,none,yes,1
287,<200,48,delay in paying off,others,7582,<500,unemployed,2,male single,none,4,no,31,none,for free,1,management/ highly qualified employee,1,yes,yes,1
288,<200,12,existing credits paid back duly till now,radio/television,1092,<100,1 <= < 4 years,4,female divorced/separated/married,guarantor,4,real estate,49,none,own,2,skilled employee / official,1,yes,yes,1
289,<0,24,delay in paying off,radio/television,1024,<100,< 1 year,4,male married/widowed,none,4,real estate,48,store,own,1,skilled employee / official,1,none,yes,0
290,no,12,existing credits paid back duly till now,business,1076,<100,1 <= < 4 years,2,male married/widowed,none,2,real estate,26,none,own,1,skilled employee / official,1,yes,no,1
291,<200,36,existing credits paid back duly till now,car (used),9398,<100,< 1 year,1,male married/widowed,none,4,car or other,28,none,rent,1,management/ highly qualified employee,1,yes,yes,0
292,<0,24,critical account,car (used),6419,<100,>= 7 years,2,female divorced/separated/married,none,4,no,44,none,for free,2,management/ highly qualified employee,2,yes,yes,1
293,>200,42,critical account,car (used),4796,<100,>= 7 years,4,male single,none,4,no,56,none,for free,1,skilled employee / official,1,none,yes,1
294,no,48,critical account,business,7629,no,>= 7 years,4,male divorced/separated,none,2,car or other,46,bank,own,2,management/ highly qualified employee,2,none,yes,1
295,<200,48,existing credits paid back duly till now,furniture/equipment,9960,<100,< 1 year,1,female divorced/separated/married,none,2,car or other,26,none,own,1,skilled employee / official,1,yes,yes,0
296,no,12,existing credits paid back duly till now,car (used),4675,no,< 1 year,1,female divorced/separated/married,none,4,car or other,20,none,rent,1,skilled employee / official,1,none,yes,1
297,no,10,existing credits paid back duly till now,car (new),1287,no,>= 7 years,4,male single,co-applicant,2,savings agreement/life insurance,45,none,own,1,unskilled - resident,1,none,no,1
298,no,18,existing credits paid back duly till now,furniture/equipment,2515,<100,1 <= < 4 years,3,male single,none,4,real estate,43,none,own,1,skilled employee / official,1,yes,yes,1
299,<200,21,critical account,furniture/equipment,2745,>1000,4 <= < 7 years,3,male single,none,2,car or other,32,none,own,2,skilled employee / official,1,yes,yes,1
300,no,6,existing credits paid back duly till now,car (new),672,<100,unemployed,1,female divorced/separated/married,none,4,real estate,54,none,own,1,unemployed/ unskilled  - non-resident,1,yes,yes,1
301,<200,36,no credits taken,radio/television,3804,<100,1 <= < 4 years,4,female divorced/separated/married,none,1,car or other,42,none,own,1,skilled employee / official,1,yes,yes,0
302,>200,24,critical account,car (new),1344,no,4 <= < 7 years,4,male single,none,2,real estate,37,bank,own,2,unskilled - resident,2,none,yes,0
303,<0,10,critical account,car (new),1038,<100,4 <= < 7 years,4,male single,co-applicant,3,savings agreement/life insurance,49,none,own,2,skilled employee / official,1,yes,yes,1
304,no,48,critical account,car (new),10127,<1000,1 <= < 4 years,2,male single,none,2,no,44,bank,for free,1,skilled employee / official,1,none,yes,0
305,no,6,existing credits paid back duly till now,furniture/equipment,1543,>1000,1 <= < 4 years,4,male divorced/separated,none,2,real estate,33,none,own,1,skilled employee / official,1,none,yes,1
306,no,30,existing credits paid back duly till now,car (used),4811,no,4 <= < 7 years,2,female divorced/separated/married,none,4,savings agreement/life insurance,24,store,rent,1,unskilled - resident,1,none,yes,1
307,<0,12,existing credits paid back duly till now,radio/television,727,<500,< 1 year,4,male married/widowed,none,3,no,33,none,own,1,unskilled - resident,1,yes,yes,0
308,<200,8,existing credits paid back duly till now,furniture/equipment,1237,<100,1 <= < 4 years,3,female divorced/separated/married,none,4,real estate,24,none,own,1,skilled employee / official,1,none,yes,0
309,<200,9,existing credits paid back duly till now,car (new),276,<100,1 <= < 4 years,4,male married/widowed,none,4,real estate,22,none,rent,1,unskilled - resident,1,none,yes,1
310,<200,48,existing credits paid back duly till now,others,5381,no,unemployed,3,male single,none,4,no,40,bank,for free,1,unemployed/ unskilled  - non-resident,1,yes,yes,1
311,no,24,existing credits paid back duly till now,furniture/equipment,5511,<500,1 <= < 4 years,4,male single,none,1,car or other,25,store,own,1,skilled employee / official,1,none,yes,1
312,>200,24,existing credits paid back duly till now,furniture/equipment,3749,<100,< 1 year,2,female divorced/separated/married,none,4,car or other,26,none,own,1,skilled employee / official,1,none,yes,1
313,<200,12,existing credits paid back duly till now,car (new),685,<100,4 <= < 7 years,2,male married/widowed,none,3,car or other,25,bank,own,1,unskilled - resident,1,none,yes,0
314,>200,4,existing credits paid back duly till now,car (new),1494,no,< 1 year,1,male single,none,2,real estate,29,none,own,1,unskilled - resident,2,none,no,1
315,<0,36,all credits at this bank paid back duly,furniture/equipment,2746,<100,>= 7 years,4,male single,none,4,car or other,31,bank,own,1,skilled employee / official,1,none,yes,0
316,<0,12,existing credits paid back duly till now,furniture/equipment,708,<100,1 <= < 4 years,2,male single,guarantor,3,savings agreement/life insurance,38,none,own,1,unskilled - resident,2,none,yes,1
317,<200,24,existing credits paid back duly till now,furniture/equipment,4351,no,1 <= < 4 years,1,female divorced/separated/married,none,4,savings agreement/life insurance,48,none,own,1,unskilled - resident,1,yes,yes,1
318,no,12,critical account,education,701,<100,1 <= < 4 years,4,male single,none,2,car or other,32,none,own,2,skilled employee / official,1,none,yes,1
319,<0,15,delay in paying off,furniture/equipment,3643,<100,>= 7 years,1,female divorced/separated/married,none,4,savings agreement/life insurance,27,none,own,2,unskilled - resident,1,none,yes,1
320,<200,30,critical account,car (new),4249,<100,unemployed,4,male married/widowed,none,2,car or other,28,none,own,2,management/ highly qualified employee,1,none,yes,0
321,<0,24,existing credits paid back duly till now,radio/television,1938,<100,< 1 year,4,male divorced/separated,none,3,savings agreement/life insurance,32,none,own,1,skilled employee / official,1,none,yes,0
322,<0,24,existing credits paid back duly till now,car (used),2910,<100,4 <= < 7 years,2,male single,none,1,no,34,none,for free,1,management/ highly qualified employee,1,yes,yes,1
323,<0,18,existing credits paid back duly till now,furniture/equipment,2659,>1000,1 <= < 4 years,4,male single,none,2,car or other,28,none,own,1,skilled employee / official,1,none,yes,1
324,no,18,critical account,car (new),1028,<100,1 <= < 4 years,4,female divorced/separated/married,none,3,real estate,36,none,own,2,skilled employee / official,1,none,yes,1
325,<0,8,critical account,car (new),3398,<100,4 <= < 7 years,1,male single,none,4,real estate,39,none,own,2,unskilled - resident,1,none,no,1
326,no,12,critical account,furniture/equipment,5801,no,>= 7 years,2,male single,none,4,savings agreement/life insurance,49,none,rent,1,skilled employee / official,1,yes,yes,1
327,no,24,existing credits paid back duly till now,car (new),1525,>1000,4 <= < 7 years,4,female divorced/separated/married,none,3,car or other,34,none,own,1,skilled employee / official,2,yes,yes,1
328,>200,36,existing credits paid back duly till now,radio/television,4473,<100,>= 7 years,4,male single,none,2,car or other,31,none,own,1,skilled employee / official,1,none,yes,1
329,<200,6,existing credits paid back duly till now,radio/television,1068,<100,>= 7 years,4,male single,none,4,car or other,28,none,own,1,skilled employee / official,2,none,yes,1
330,<0,24,critical account,car (used),6615,<100,unemployed,2,male single,none,4,no,75,none,for free,2,management/ highly qualified employee,1,yes,yes,1
331,no,18,critical account,education,1864,<500,1 <= < 4 years,4,female divorced/separated/married,none,2,real estate,30,none,own,2,skilled employee / official,1,none,yes,0
332,<200,60,existing credits paid back duly till now,car (new),7408,<500,< 1 year,4,female divorced/separated/married,none,2,savings agreement/life insurance,24,none,own,1,management/ highly qualified employee,1,none,yes,0
333,no,48,critical account,car (used),11590,<500,1 <= < 4 years,2,female divorced/separated/married,none,4,car or other,24,bank,rent,2,unskilled - resident,1,none,yes,0
334,<0,24,no credits taken,furniture/equipment,4110,<100,>= 7 years,3,male single,none,4,no,23,bank,rent,2,skilled employee / official,2,none,yes,0
335,<0,6,critical account,furniture/equipment,3384,<100,1 <= < 4 years,1,male divorced/separated,none,4,real estate,44,none,rent,1,management/ highly qualified employee,1,yes,yes,0
336,<200,13,existing credits paid back duly till now,radio/television,2101,<100,< 1 year,2,female divorced/separated/married,guarantor,4,savings agreement/life insurance,23,none,own,1,unskilled - resident,1,none,yes,1
337,<0,15,existing credits paid back duly till now,domestic appliances,1275,no,1 <= < 4 years,4,female divorced/separated/married,none,2,car or other,24,none,rent,1,skilled employee / official,1,none,yes,0
338,<0,24,existing credits paid back duly till now,furniture/equipment,4169,<100,1 <= < 4 years,4,male single,none,4,savings agreement/life insurance,28,none,own,1,skilled employee / official,1,none,yes,1
339,<200,10,existing credits paid back duly till now,furniture/equipment,1521,<100,1 <= < 4 years,4,male divorced/separated,none,2,car or other,31,none,own,1,unskilled - resident,1,none,yes,1
340,<200,24,critical account,education,5743,<100,< 1 year,2,female divorced/separated/married,none,4,no,24,none,for free,2,skilled employee / official,1,yes,yes,1
341,<0,21,existing credits paid back duly till now,furniture/equipment,3599,<100,4 <= < 7 years,1,female divorced/separated/married,none,4,car or other,26,none,rent,1,unskilled - resident,1,none,yes,1
342,<200,18,existing credits paid back duly till now,radio/television,3213,<1000,< 1 year,1,male married/widowed,none,3,real estate,25,none,rent,1,skilled employee / official,1,none,yes,1
343,<200,18,existing credits paid back duly till now,business,4439,<100,>= 7 years,1,male single,co-applicant,1,real estate,33,bank,own,1,management/ highly qualified employee,1,yes,yes,1
344,>200,10,existing credits paid back duly till now,car (new),3949,<100,< 1 year,1,male single,guarantor,1,savings agreement/life insurance,37,none,own,1,unskilled - resident,2,none,yes,1
345,no,15,critical account,radio/television,1459,<100,1 <= < 4 years,4,female divorced/separated/married,none,2,car or other,43,none,own,1,unskilled - resident,1,none,yes,1
346,<200,13,critical account,radio/television,882,<100,< 1 year,4,male single,guarantor,4,real estate,23,none,own,2,skilled employee / official,1,none,yes,1
347,<200,24,existing credits paid back duly till now,radio/television,3758,<1000,unemployed,1,female divorced/separated/married,none,4,no,23,none,rent,1,unemployed/ unskilled  - non-resident,1,none,yes,1
348,no,6,delay in paying off,business,1743,<500,1 <= < 4 years,1,male single,none,2,real estate,34,none,own,2,unskilled - resident,1,none,yes,1
349,<200,9,critical account,education,1136,>1000,>= 7 years,4,male single,none,3,no,32,none,for free,2,skilled employee / official,2,none,yes,0
350,no,9,existing credits paid back duly till now,domestic appliances,1236,<100,< 1 year,1,female divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee / official,1,yes,yes,1
351,<200,9,existing credits paid back duly till now,furniture/equipment,959,<100,1 <= < 4 years,1,female divorced/separated/married,none,2,car or other,29,none,own,1,skilled employee / official,1,none,no,0
352,no,18,critical account,car (used),3229,no,unemployed,2,male single,none,4,no,38,none,own,1,management/ highly qualified employee,1,yes,yes,1
353,<0,12,no credits taken,radio/television,6199,<100,1 <= < 4 years,4,male single,none,2,savings agreement/life insurance,28,none,rent,2,skilled employee / official,1,yes,yes,0
354,no,10,existing credits paid back duly till now,education,727,<1000,>= 7 years,4,male single,none,4,no,46,none,for free,1,skilled employee / official,1,yes,yes,1
