,Account Status,Duration,Credit History,Purpose,Credit Amount,Savings,Employment,Installment rate,Sex,Other debtors,Residence,Property,Age,Other installments,Housing,Number of credits,Job,Maintenance,Telephone,Foreign,label_value,score
253,no,24,delay in paying off,furniture/equipment,4151,<500,1 <= < 4 years,2,male single,none,3,savings agreement/life insurance,Middle2,none,own,2,skilled employee / official,1,none,yes,1,1.0
254,<200,9,existing credits paid back duly till now,furniture/equipment,2030,no,4 <= < 7 years,2,male single,none,1,car or other,Younger,none,own,1,skilled employee / official,1,yes,yes,1,1.0
255,<200,60,delay in paying off,radio/television,7418,no,1 <= < 4 years,1,male single,none,1,real estate,Middle1,none,own,1,unskilled - resident,1,none,yes,1,1.0
256,no,24,critical account,radio/television,2684,<100,1 <= < 4 years,4,male single,none,2,real estate,Middle2,none,own,2,unskilled - resident,1,none,yes,1,1.0
257,<0,12,all credits at this bank paid back duly,radio/television,2149,<100,1 <= < 4 years,4,male divorced/separated,none,1,no,Middle1,none,for free,1,skilled employee / official,1,none,yes,0,0.0
258,no,15,existing credits paid back duly till now,car (used),3812,<500,< 1 year,1,female divorced/separated/married,none,4,car or other,Younger,none,own,1,skilled employee / official,1,yes,yes,1,1.0
259,no,11,critical account,radio/television,1154,<500,unemployed,4,female divorced/separated/married,none,4,real estate,Older,none,own,3,unskilled - resident,1,none,yes,1,1.0
260,<0,12,existing credits paid back duly till now,furniture/equipment,1657,<100,1 <= < 4 years,2,male single,none,2,real estate,Middle1,none,own,1,skilled employee / official,1,none,yes,1,1.0
261,<0,24,existing credits paid back duly till now,radio/television,1603,<100,>= 7 years,4,female divorced/separated/married,none,4,car or other,Older,none,own,1,skilled employee / official,1,none,yes,1,1.0
262,<0,18,critical account,car (new),5302,<100,>= 7 years,2,male single,none,4,no,Middle2,none,for free,3,management/ highly qualified employee,1,yes,yes,1,0.0
263,no,12,critical account,education,2748,<100,>= 7 years,2,female divorced/separated/married,none,4,no,Older,bank,for free,3,unskilled - resident,1,none,yes,1,1.0
264,no,10,critical account,car (new),1231,<100,>= 7 years,3,male single,none,4,real estate,Middle1,none,own,2,unskilled - resident,2,none,no,1,1.0
265,<200,15,existing credits paid back duly till now,radio/television,802,<100,>= 7 years,4,male single,none,3,car or other,Middle2,none,own,1,skilled employee / official,2,none,yes,0,1.0
266,no,36,critical account,business,6304,no,>= 7 years,4,male single,none,4,real estate,Middle2,none,own,2,skilled employee / official,1,none,yes,1,1.0
267,no,24,existing credits paid back duly till now,radio/television,1533,<100,< 1 year,4,female divorced/separated/married,none,3,car or other,Middle2,store,own,1,skilled employee / official,1,yes,yes,1,1.0
268,<0,14,existing credits paid back duly till now,car (new),8978,<100,>= 7 years,1,male divorced/separated,none,4,savings agreement/life insurance,Older,none,own,1,management/ highly qualified employee,1,yes,no,0,0.0
269,no,24,existing credits paid back duly till now,radio/television,999,no,>= 7 years,4,male single,none,2,car or other,Younger,none,own,2,skilled employee / official,1,none,yes,1,1.0
270,no,18,existing credits paid back duly till now,car (new),2662,no,4 <= < 7 years,4,male single,none,3,savings agreement/life insurance,Middle1,none,own,1,skilled employee / official,1,none,no,1,1.0
271,no,12,critical account,furniture/equipment,1402,<1000,4 <= < 7 years,3,female divorced/separated/married,none,4,car or other,Middle2,none,rent,1,skilled employee / official,1,yes,yes,1,1.0
272,<200,48,all credits at this bank paid back duly,car (new),12169,no,unemployed,4,male single,co-applicant,4,no,Middle2,none,for free,1,management/ highly qualified employee,1,yes,yes,1,0.0
273,<200,48,existing credits paid back duly till now,radio/television,3060,<100,4 <= < 7 years,4,male single,none,4,real estate,Middle1,none,own,2,skilled employee / official,1,none,yes,0,1.0
274,<0,30,existing credits paid back duly till now,repairs,11998,<100,< 1 year,1,male divorced/separated,none,1,no,Middle2,none,own,1,unskilled - resident,1,yes,yes,0,0.0
275,no,9,existing credits paid back duly till now,radio/television,2697,<100,1 <= < 4 years,1,male single,none,2,real estate,Middle1,none,own,1,skilled employee / official,2,none,yes,1,1.0
276,no,18,critical account,radio/television,2404,<100,1 <= < 4 years,2,female divorced/separated/married,none,2,car or other,Younger,none,own,2,skilled employee / official,1,none,yes,1,1.0
277,<0,12,existing credits paid back duly till now,furniture/equipment,1262,no,>= 7 years,2,male divorced/separated,none,4,savings agreement/life insurance,Older,none,own,1,unskilled - resident,1,yes,yes,1,1.0
278,no,6,existing credits paid back duly till now,furniture/equipment,4611,<100,< 1 year,1,female divorced/separated/married,none,4,savings agreement/life insurance,Middle1,none,own,1,skilled employee / official,1,none,yes,0,1.0
279,no,24,existing credits paid back duly till now,radio/television,1901,<500,1 <= < 4 years,4,male single,none,4,car or other,Middle1,none,rent,1,management/ highly qualified employee,1,yes,yes,1,1.0
280,no,15,critical account,car (used),3368,>1000,>= 7 years,3,male single,none,4,no,Younger,none,rent,2,skilled employee / official,1,yes,yes,1,1.0
281,no,12,existing credits paid back duly till now,furniture/equipment,1574,<100,1 <= < 4 years,4,male single,none,2,real estate,Older,none,own,1,skilled employee / official,1,none,yes,1,1.0
282,>200,18,all credits at this bank paid back duly,radio/television,1445,no,4 <= < 7 years,4,male single,none,4,car or other,Older,bank,own,1,unskilled - resident,1,none,yes,1,1.0
283,no,15,critical account,furniture/equipment,1520,no,>= 7 years,4,male single,none,4,savings agreement/life insurance,Older,none,own,1,skilled employee / official,1,none,yes,1,1.0
284,<200,24,critical account,car (new),3878,<500,< 1 year,4,male divorced/separated,none,2,car or other,Middle2,none,own,1,skilled employee / official,1,yes,yes,1,0.0
285,<0,47,existing credits paid back duly till now,car (new),10722,<100,< 1 year,1,female divorced/separated/married,none,1,real estate,Middle2,none,own,1,unskilled - resident,1,yes,yes,1,0.0
286,<0,48,existing credits paid back duly till now,car (used),4788,<100,4 <= < 7 years,4,male single,none,3,savings agreement/life insurance,Younger,none,own,1,skilled employee / official,2,none,yes,1,1.0
287,<200,48,delay in paying off,others,7582,<500,unemployed,2,male single,none,4,no,Middle1,none,for free,1,management/ highly qualified employee,1,yes,yes,1,0.0
288,<200,12,existing credits paid back duly till now,radio/television,1092,<100,1 <= < 4 years,4,female divorced/separated/married,guarantor,4,real estate,Older,none,own,2,skilled employee / official,1,yes,yes,1,1.0
289,<0,24,delay in paying off,radio/television,1024,<100,< 1 year,4,male married/widowed,none,4,real estate,Older,store,own,1,skilled employee / official,1,none,yes,0,0.0
290,no,12,existing credits paid back duly till now,business,1076,<100,1 <= < 4 years,2,male married/widowed,none,2,real estate,Younger,none,own,1,skilled employee / official,1,yes,no,1,1.0
291,<200,36,existing credits paid back duly till now,car (used),9398,<100,< 1 year,1,male married/widowed,none,4,car or other,Middle1,none,rent,1,management/ highly qualified employee,1,yes,yes,0,0.0
292,<0,24,critical account,car (used),6419,<100,>= 7 years,2,female divorced/separated/married,none,4,no,Older,none,for free,2,management/ highly qualified employee,2,yes,yes,1,1.0
293,>200,42,critical account,car (used),4796,<100,>= 7 years,4,male single,none,4,no,Older,none,for free,1,skilled employee / official,1,none,yes,1,0.0
294,no,48,critical account,business,7629,no,>= 7 years,4,male divorced/separated,none,2,car or other,Older,bank,own,2,management/ highly qualified employee,2,none,yes,1,1.0
295,<200,48,existing credits paid back duly till now,furniture/equipment,9960,<100,< 1 year,1,female divorced/separated/married,none,2,car or other,Younger,none,own,1,skilled employee / official,1,yes,yes,0,0.0
296,no,12,existing credits paid back duly till now,car (used),4675,no,< 1 year,1,female divorced/separated/married,none,4,car or other,Younger,none,rent,1,skilled employee / official,1,none,yes,1,1.0
297,no,10,existing credits paid back duly till now,car (new),1287,no,>= 7 years,4,male single,co-applicant,2,savings agreement/life insurance,Older,none,own,1,unskilled - resident,1,none,no,1,1.0
298,no,18,existing credits paid back duly till now,furniture/equipment,2515,<100,1 <= < 4 years,3,male single,none,4,real estate,Older,none,own,1,skilled employee / official,1,yes,yes,1,1.0
299,<200,21,critical account,furniture/equipment,2745,>1000,4 <= < 7 years,3,male single,none,2,car or other,Middle1,none,own,2,skilled employee / official,1,yes,yes,1,1.0
300,no,6,existing credits paid back duly till now,car (new),672,<100,unemployed,1,female divorced/separated/married,none,4,real estate,Older,none,own,1,unemployed/ unskilled  - non-resident,1,yes,yes,1,1.0
301,<200,36,no credits taken,radio/television,3804,<100,1 <= < 4 years,4,female divorced/separated/married,none,1,car or other,Older,none,own,1,skilled employee / official,1,yes,yes,0,0.0
302,>200,24,critical account,car (new),1344,no,4 <= < 7 years,4,male single,none,2,real estate,Middle2,bank,own,2,unskilled - resident,2,none,yes,0,1.0
303,<0,10,critical account,car (new),1038,<100,4 <= < 7 years,4,male single,co-applicant,3,savings agreement/life insurance,Older,none,own,2,skilled employee / official,1,yes,yes,1,1.0
304,no,48,critical account,car (new),10127,<1000,1 <= < 4 years,2,male single,none,2,no,Older,bank,for free,1,skilled employee / official,1,none,yes,0,1.0
305,no,6,existing credits paid back duly till now,furniture/equipment,1543,>1000,1 <= < 4 years,4,male divorced/separated,none,2,real estate,Middle2,none,own,1,skilled employee / official,1,none,yes,1,1.0
306,no,30,existing credits paid back duly till now,car (used),4811,no,4 <= < 7 years,2,female divorced/separated/married,none,4,savings agreement/life insurance,Younger,store,rent,1,unskilled - resident,1,none,yes,1,1.0
307,<0,12,existing credits paid back duly till now,radio/television,727,<500,< 1 year,4,male married/widowed,none,3,no,Middle2,none,own,1,unskilled - resident,1,yes,yes,0,0.0
308,<200,8,existing credits paid back duly till now,furniture/equipment,1237,<100,1 <= < 4 years,3,female divorced/separated/married,none,4,real estate,Younger,none,own,1,skilled employee / official,1,none,yes,0,1.0
309,<200,9,existing credits paid back duly till now,car (new),276,<100,1 <= < 4 years,4,male married/widowed,none,4,real estate,Younger,none,rent,1,unskilled - resident,1,none,yes,1,0.0
310,<200,48,existing credits paid back duly till now,others,5381,no,unemployed,3,male single,none,4,no,Middle2,bank,for free,1,unemployed/ unskilled  - non-resident,1,yes,yes,1,0.0
311,no,24,existing credits paid back duly till now,furniture/equipment,5511,<500,1 <= < 4 years,4,male single,none,1,car or other,Younger,store,own,1,skilled employee / official,1,none,yes,1,1.0
312,>200,24,existing credits paid back duly till now,furniture/equipment,3749,<100,< 1 year,2,female divorced/separated/married,none,4,car or other,Younger,none,own,1,skilled employee / official,1,none,yes,1,1.0
313,<200,12,existing credits paid back duly till now,car (new),685,<100,4 <= < 7 years,2,male married/widowed,none,3,car or other,Younger,bank,own,1,unskilled - resident,1,none,yes,0,0.0
314,>200,4,existing credits paid back duly till now,car (new),1494,no,< 1 year,1,male single,none,2,real estate,Middle1,none,own,1,unskilled - resident,2,none,no,1,1.0
315,<0,36,all credits at this bank paid back duly,furniture/equipment,2746,<100,>= 7 years,4,male single,none,4,car or other,Middle1,bank,own,1,skilled employee / official,1,none,yes,0,0.0
316,<0,12,existing credits paid back duly till now,furniture/equipment,708,<100,1 <= < 4 years,2,male single,guarantor,3,savings agreement/life insurance,Middle2,none,own,1,unskilled - resident,2,none,yes,1,1.0
317,<200,24,existing credits paid back duly till now,furniture/equipment,4351,no,1 <= < 4 years,1,female divorced/separated/married,none,4,savings agreement/life insurance,Older,none,own,1,unskilled - resident,1,yes,yes,1,1.0
318,no,12,critical account,education,701,<100,1 <= < 4 years,4,male single,none,2,car or other,Middle1,none,own,2,skilled employee / official,1,none,yes,1,1.0
319,<0,15,delay in paying off,furniture/equipment,3643,<100,>= 7 years,1,female divorced/separated/married,none,4,savings agreement/life insurance,Middle1,none,own,2,unskilled - resident,1,none,yes,1,1.0
320,<200,30,critical account,car (new),4249,<100,unemployed,4,male married/widowed,none,2,car or other,Middle1,none,own,2,management/ highly qualified employee,1,none,yes,0,1.0
321,<0,24,existing credits paid back duly till now,radio/television,1938,<100,< 1 year,4,male divorced/separated,none,3,savings agreement/life insurance,Middle1,none,own,1,skilled employee / official,1,none,yes,0,0.0
322,<0,24,existing credits paid back duly till now,car (used),2910,<100,4 <= < 7 years,2,male single,none,1,no,Middle2,none,for free,1,management/ highly qualified employee,1,yes,yes,1,1.0
323,<0,18,existing credits paid back duly till now,furniture/equipment,2659,>1000,1 <= < 4 years,4,male single,none,2,car or other,Middle1,none,own,1,skilled employee / official,1,none,yes,1,1.0
324,no,18,critical account,car (new),1028,<100,1 <= < 4 years,4,female divorced/separated/married,none,3,real estate,Middle2,none,own,2,skilled employee / official,1,none,yes,1,1.0
325,<0,8,critical account,car (new),3398,<100,4 <= < 7 years,1,male single,none,4,real estate,Middle2,none,own,2,unskilled - resident,1,none,no,1,1.0
326,no,12,critical account,furniture/equipment,5801,no,>= 7 years,2,male single,none,4,savings agreement/life insurance,Older,none,rent,1,skilled employee / official,1,yes,yes,1,1.0
327,no,24,existing credits paid back duly till now,car (new),1525,>1000,4 <= < 7 years,4,female divorced/separated/married,none,3,car or other,Middle2,none,own,1,skilled employee / official,2,yes,yes,1,1.0
328,>200,36,existing credits paid back duly till now,radio/television,4473,<100,>= 7 years,4,male single,none,2,car or other,Middle1,none,own,1,skilled employee / official,1,none,yes,1,1.0
329,<200,6,existing credits paid back duly till now,radio/television,1068,<100,>= 7 years,4,male single,none,4,car or other,Middle1,none,own,1,skilled employee / official,2,none,yes,1,1.0
330,<0,24,critical account,car (used),6615,<100,unemployed,2,male single,none,4,no,Older,none,for free,2,management/ highly qualified employee,1,yes,yes,1,1.0
331,no,18,critical account,education,1864,<500,1 <= < 4 years,4,female divorced/separated/married,none,2,real estate,Middle1,none,own,2,skilled employee / official,1,none,yes,0,1.0
332,<200,60,existing credits paid back duly till now,car (new),7408,<500,< 1 year,4,female divorced/separated/married,none,2,savings agreement/life insurance,Younger,none,own,1,management/ highly qualified employee,1,none,yes,0,0.0
333,no,48,critical account,car (used),11590,<500,1 <= < 4 years,2,female divorced/separated/married,none,4,car or other,Younger,bank,rent,2,unskilled - resident,1,none,yes,0,1.0
334,<0,24,no credits taken,furniture/equipment,4110,<100,>= 7 years,3,male single,none,4,no,Younger,bank,rent,2,skilled employee / official,2,none,yes,0,0.0
335,<0,6,critical account,furniture/equipment,3384,<100,1 <= < 4 years,1,male divorced/separated,none,4,real estate,Older,none,rent,1,management/ highly qualified employee,1,yes,yes,0,1.0
336,<200,13,existing credits paid back duly till now,radio/television,2101,<100,< 1 year,2,female divorced/separated/married,guarantor,4,savings agreement/life insurance,Younger,none,own,1,unskilled - resident,1,none,yes,1,1.0
337,<0,15,existing credits paid back duly till now,domestic appliances,1275,no,1 <= < 4 years,4,female divorced/separated/married,none,2,car or other,Younger,none,rent,1,skilled employee / official,1,none,yes,0,1.0
338,<0,24,existing credits paid back duly till now,furniture/equipment,4169,<100,1 <= < 4 years,4,male single,none,4,savings agreement/life insurance,Middle1,none,own,1,skilled employee / official,1,none,yes,1,0.0
339,<200,10,existing credits paid back duly till now,furniture/equipment,1521,<100,1 <= < 4 years,4,male divorced/separated,none,2,car or other,Middle1,none,own,1,unskilled - resident,1,none,yes,1,1.0
340,<200,24,critical account,education,5743,<100,< 1 year,2,female divorced/separated/married,none,4,no,Younger,none,for free,2,skilled employee / official,1,yes,yes,1,1.0
341,<0,21,existing credits paid back duly till now,furniture/equipment,3599,<100,4 <= < 7 years,1,female divorced/separated/married,none,4,car or other,Younger,none,rent,1,unskilled - resident,1,none,yes,1,1.0
342,<200,18,existing credits paid back duly till now,radio/television,3213,<1000,< 1 year,1,male married/widowed,none,3,real estate,Younger,none,rent,1,skilled employee / official,1,none,yes,1,1.0
343,<200,18,existing credits paid back duly till now,business,4439,<100,>= 7 years,1,male single,co-applicant,1,real estate,Middle2,bank,own,1,management/ highly qualified employee,1,yes,yes,1,1.0
344,>200,10,existing credits paid back duly till now,car (new),3949,<100,< 1 year,1,male single,guarantor,1,savings agreement/life insurance,Middle2,none,own,1,unskilled - resident,2,none,yes,1,1.0
345,no,15,critical account,radio/television,1459,<100,1 <= < 4 years,4,female divorced/separated/married,none,2,car or other,Older,none,own,1,unskilled - resident,1,none,yes,1,1.0
346,<200,13,critical account,radio/television,882,<100,< 1 year,4,male single,guarantor,4,real estate,Younger,none,own,2,skilled employee / official,1,none,yes,1,1.0
347,<200,24,existing credits paid back duly till now,radio/television,3758,<1000,unemployed,1,female divorced/separated/married,none,4,no,Younger,none,rent,1,unemployed/ unskilled  - non-resident,1,none,yes,1,1.0
348,no,6,delay in paying off,business,1743,<500,1 <= < 4 years,1,male single,none,2,real estate,Middle2,none,own,2,unskilled - resident,1,none,yes,1,1.0
349,<200,9,critical account,education,1136,>1000,>= 7 years,4,male single,none,3,no,Middle1,none,for free,2,skilled employee / official,2,none,yes,0,1.0
350,no,9,existing credits paid back duly till now,domestic appliances,1236,<100,< 1 year,1,female divorced/separated/married,none,4,real estate,Younger,none,rent,1,skilled employee / official,1,yes,yes,1,1.0
351,<200,9,existing credits paid back duly till now,furniture/equipment,959,<100,1 <= < 4 years,1,female divorced/separated/married,none,2,car or other,Middle1,none,own,1,skilled employee / official,1,none,no,0,1.0
352,no,18,critical account,car (used),3229,no,unemployed,2,male single,none,4,no,Middle2,none,own,1,management/ highly qualified employee,1,yes,yes,1,1.0
353,<0,12,no credits taken,radio/television,6199,<100,1 <= < 4 years,4,male single,none,2,savings agreement/life insurance,Middle1,none,rent,2,skilled employee / official,1,yes,yes,0,0.0
354,no,10,existing credits paid back duly till now,education,727,<1000,>= 7 years,4,male single,none,4,no,Older,none,for free,1,skilled employee / official,1,yes,yes,1,1.0
355,<200,24,existing credits paid back duly till now,car (new),1246,<100,< 1 year,4,male single,none,2,real estate,Younger,store,own,1,unskilled - resident,1,none,yes,0,0.0
356,no,12,critical account,radio/television,2331,no,>= 7 years,1,male single,co-applicant,4,real estate,Older,none,own,1,skilled employee / official,1,yes,yes,1,1.0
357,no,36,delay in paying off,radio/television,4463,<100,1 <= < 4 years,4,male single,none,2,car or other,Younger,none,own,2,management/ highly qualified employee,1,yes,yes,0,1.0
358,no,12,existing credits paid back duly till now,radio/television,776,<100,1 <= < 4 years,4,male married/widowed,none,2,real estate,Middle1,none,own,1,skilled employee / official,1,none,yes,1,1.0
359,<0,30,existing credits paid back duly till now,furniture/equipment,2406,<100,4 <= < 7 years,4,female divorced/separated/married,none,4,real estate,Younger,none,rent,1,skilled employee / official,1,none,yes,0,1.0
360,<200,18,existing credits paid back duly till now,education,1239,no,1 <= < 4 years,4,male single,none,4,no,Older,none,for free,1,skilled employee / official,1,none,yes,1,0.0
361,>200,12,existing credits paid back duly till now,radio/television,3399,no,>= 7 years,2,male single,none,3,car or other,Middle2,none,own,1,management/ highly qualified employee,1,none,yes,1,1.0
362,>200,12,delay in paying off,car (new),2247,<100,1 <= < 4 years,2,female divorced/separated/married,none,2,car or other,Middle2,store,own,2,skilled employee / official,1,yes,yes,1,0.0
363,no,6,existing credits paid back duly till now,furniture/equipment,1766,<100,1 <= < 4 years,1,male married/widowed,none,2,savings agreement/life insurance,Younger,none,rent,1,skilled employee / official,1,none,yes,1,1.0
364,<0,18,existing credits paid back duly till now,furniture/equipment,2473,<100,unemployed,4,male single,none,1,car or other,Younger,none,own,1,unemployed/ unskilled  - non-resident,1,none,yes,0,1.0
365,no,12,existing credits paid back duly till now,business,1542,<100,4 <= < 7 years,2,male single,none,4,car or other,Middle2,none,own,1,skilled employee / official,1,yes,yes,1,1.0
366,no,18,critical account,car (used),3850,<100,4 <= < 7 years,3,male single,none,1,car or other,Middle1,none,own,2,skilled employee / official,1,none,yes,1,1.0
367,<0,18,existing credits paid back duly till now,furniture/equipment,3650,<100,< 1 year,1,female divorced/separated/married,none,4,car or other,Younger,none,rent,1,skilled employee / official,1,none,yes,1,1.0
368,<0,36,existing credits paid back duly till now,furniture/equipment,3446,<100,>= 7 years,4,male single,none,2,car or other,Older,none,own,1,skilled employee / official,2,none,yes,0,0.0
369,<200,18,existing credits paid back duly till now,furniture/equipment,3001,<100,4 <= < 7 years,2,female divorced/separated/married,none,4,real estate,Middle2,none,rent,1,skilled employee / official,1,none,yes,1,1.0
370,no,36,existing credits paid back duly till now,car (new),3079,no,1 <= < 4 years,4,male single,none,4,real estate,Middle2,none,own,1,skilled employee / official,1,none,yes,1,1.0
371,no,18,critical account,radio/television,6070,<100,>= 7 years,3,male single,none,4,car or other,Middle2,none,own,2,skilled employee / official,1,yes,yes,1,1.0
372,no,10,critical account,furniture/equipment,2146,<100,< 1 year,1,female divorced/separated/married,none,3,real estate,Younger,none,rent,2,skilled employee / official,1,none,yes,1,1.0
373,no,60,critical account,car (new),13756,no,>= 7 years,2,male single,none,4,no,Older,bank,for free,1,management/ highly qualified employee,1,yes,yes,1,0.0
374,<200,60,all credits at this bank paid back duly,others,14782,<500,>= 7 years,3,female divorced/separated/married,none,4,no,Older,bank,for free,2,management/ highly qualified employee,1,yes,yes,0,0.0
375,<0,48,all credits at this bank paid back duly,business,7685,<100,4 <= < 7 years,2,female divorced/separated/married,guarantor,4,car or other,Middle2,none,rent,1,skilled employee / official,1,none,yes,0,1.0
376,no,18,delay in paying off,radio/television,2320,<100,unemployed,2,male married/widowed,none,3,real estate,Middle2,none,own,2,skilled employee / official,1,none,yes,1,1.0
377,no,7,delay in paying off,radio/television,846,no,>= 7 years,3,male single,none,4,no,Middle2,none,for free,1,skilled employee / official,1,none,yes,1,1.0
378,<200,36,existing credits paid back duly till now,car (new),14318,<100,>= 7 years,4,male single,none,2,no,Older,none,for free,1,management/ highly qualified employee,1,yes,yes,0,0.0
379,no,6,critical account,car (new),362,<500,1 <= < 4 years,4,female divorced/separated/married,none,4,car or other,Older,none,own,2,unskilled - resident,1,none,yes,1,1.0
380,<0,20,existing credits paid back duly till now,furniture/equipment,2212,no,4 <= < 7 years,4,male single,none,4,car or other,Middle2,none,own,1,skilled employee / official,1,yes,yes,1,1.0
381,<200,18,existing credits paid back duly till now,car (used),12976,<100,unemployed,3,female divorced/separated/married,none,4,no,Middle2,none,for free,1,management/ highly qualified employee,1,yes,yes,0,1.0
382,no,22,existing credits paid back duly till now,car (new),1283,no,4 <= < 7 years,4,female divorced/separated/married,none,4,savings agreement/life insurance,Younger,none,rent,1,skilled employee / official,1,none,yes,1,1.0
383,>200,12,existing credits paid back duly till now,car (new),1330,<100,< 1 year,4,male single,none,1,real estate,Younger,none,own,1,skilled employee / official,1,none,yes,1,1.0
384,no,30,delay in paying off,business,4272,<500,1 <= < 4 years,2,male single,none,2,savings agreement/life insurance,Younger,none,own,2,unskilled - resident,1,none,yes,1,1.0
385,no,18,critical account,radio/television,2238,<100,1 <= < 4 years,2,female divorced/separated/married,none,1,car or other,Younger,none,own,2,skilled employee / official,1,none,yes,1,1.0
386,no,18,existing credits paid back duly till now,radio/television,1126,no,< 1 year,4,female divorced/separated/married,none,2,real estate,Younger,none,rent,1,skilled employee / official,1,yes,yes,1,1.0
387,<200,18,critical account,furniture/equipment,7374,<100,unemployed,4,male single,none,4,savings agreement/life insurance,Middle2,store,own,2,management/ highly qualified employee,1,yes,yes,1,1.0
388,<200,15,critical account,business,2326,<1000,1 <= < 4 years,2,male single,none,4,car or other,Middle1,bank,own,1,skilled employee / official,1,none,yes,1,1.0
389,no,9,existing credits paid back duly till now,business,1449,<100,4 <= < 7 years,3,female divorced/separated/married,none,2,car or other,Middle1,none,own,2,skilled employee / official,1,none,yes,1,1.0
390,no,18,existing credits paid back duly till now,car (new),1820,<100,1 <= < 4 years,2,male married/widowed,none,2,savings agreement/life insurance,Middle1,none,own,1,management/ highly qualified employee,1,yes,yes,1,1.0
391,<200,12,existing credits paid back duly till now,furniture/equipment,983,>1000,< 1 year,1,female divorced/separated/married,none,4,real estate,Younger,none,rent,1,unskilled - resident,1,none,yes,1,1.0
392,<0,36,existing credits paid back duly till now,car (new),3249,<100,4 <= < 7 years,2,male single,none,4,no,Middle2,bank,for free,1,management/ highly qualified employee,2,yes,yes,1,0.0
393,<0,6,critical account,radio/television,1957,<100,4 <= < 7 years,1,female divorced/separated/married,none,4,car or other,Middle1,none,own,1,skilled employee / official,1,none,yes,1,1.0
394,no,9,critical account,furniture/equipment,2406,<100,unemployed,2,male single,none,3,car or other,Middle1,none,own,1,management/ highly qualified employee,1,none,yes,1,1.0
395,<200,39,delay in paying off,education,11760,<500,4 <= < 7 years,2,male single,none,3,no,Middle1,none,rent,1,skilled employee / official,1,yes,yes,1,0.0
396,<0,12,existing credits paid back duly till now,furniture/equipment,2578,<100,unemployed,3,female divorced/separated/married,none,4,no,Older,none,for free,1,management/ highly qualified employee,1,none,yes,1,0.0
397,<0,36,critical account,furniture/equipment,2348,<100,1 <= < 4 years,3,male married/widowed,none,2,savings agreement/life insurance,Older,none,own,2,skilled employee / official,1,yes,yes,1,0.0
398,<200,12,existing credits paid back duly till now,car (new),1223,<100,>= 7 years,1,male divorced/separated,none,1,real estate,Older,none,rent,2,skilled employee / official,1,none,yes,0,1.0
399,no,24,critical account,radio/television,1516,>1000,1 <= < 4 years,4,female divorced/separated/married,none,1,real estate,Older,none,own,2,unskilled - resident,1,none,yes,1,1.0
400,no,18,existing credits paid back duly till now,radio/television,1473,<100,< 1 year,3,male married/widowed,none,4,real estate,Middle2,none,own,1,skilled employee / official,1,yes,yes,1,1.0
401,<200,18,critical account,business,1887,no,1 <= < 4 years,4,male married/widowed,none,4,real estate,Middle1,bank,own,2,skilled employee / official,1,none,yes,1,1.0
402,no,24,delay in paying off,business,8648,<100,< 1 year,2,male single,none,2,car or other,Middle1,bank,own,2,skilled employee / official,1,yes,yes,0,1.0
403,no,14,delay in paying off,car (new),802,<100,1 <= < 4 years,4,male single,none,2,car or other,Middle1,none,own,2,unskilled - resident,1,none,yes,1,1.0
404,<200,18,delay in paying off,car (new),2899,no,>= 7 years,4,male single,none,4,car or other,Older,none,own,1,skilled employee / official,2,none,yes,1,1.0
405,<200,24,existing credits paid back duly till now,radio/television,2039,<100,< 1 year,1,male married/widowed,none,1,savings agreement/life insurance,Younger,none,own,1,skilled employee / official,1,yes,yes,0,1.0
406,no,24,critical account,car (used),2197,no,4 <= < 7 years,4,male single,none,4,car or other,Older,none,own,2,skilled employee / official,2,yes,yes,1,1.0
407,<0,15,existing credits paid back duly till now,radio/television,1053,<100,< 1 year,4,male married/widowed,none,2,real estate,Middle1,none,own,1,skilled employee / official,1,none,no,1,1.0
408,no,24,existing credits paid back duly till now,radio/television,3235,<1000,>= 7 years,3,male divorced/separated,none,2,car or other,Younger,none,own,1,management/ highly qualified employee,1,yes,yes,1,1.0
409,>200,12,critical account,car (new),939,<1000,4 <= < 7 years,4,male married/widowed,none,2,real estate,Middle1,none,own,3,skilled employee / official,1,yes,yes,0,1.0
410,<200,24,existing credits paid back duly till now,radio/television,1967,<100,>= 7 years,4,female divorced/separated/married,none,4,car or other,Younger,none,own,1,skilled employee / official,1,yes,yes,1,1.0
411,no,33,critical account,car (used),7253,<100,4 <= < 7 years,3,male single,none,2,car or other,Middle2,none,own,2,management/ highly qualified employee,1,yes,yes,1,1.0
412,no,12,critical account,business,2292,<100,unemployed,4,male single,none,2,car or other,Older,store,own,2,management/ highly qualified employee,1,yes,yes,0,1.0
413,no,10,existing credits paid back duly till now,car (new),1597,<1000,1 <= < 4 years,3,male single,none,2,no,Middle2,none,rent,1,unskilled - resident,2,none,no,1,1.0
414,<0,24,existing credits paid back duly till now,car (new),1381,no,1 <= < 4 years,4,female divorced/separated/married,none,2,savings agreement/life insurance,Middle2,none,own,1,skilled employee / official,1,none,yes,0,0.0
415,no,36,critical account,car (used),5842,<100,>= 7 years,2,male single,none,2,savings agreement/life insurance,Middle2,none,own,2,skilled employee / official,2,yes,yes,1,1.0
416,<0,12,existing credits paid back duly till now,car (new),2579,<100,< 1 year,4,male single,none,1,real estate,Middle2,none,own,1,unskilled - resident,2,none,yes,0,0.0
